slug,institution_name,dept_name,job_title,letter_date
einaudi_institute,Einaudi Institute for Economics and Finance,XXX,Assistant Professor,"November 9, 2025"
institute_eval_labor_edu,Institute for Evaluation of Labor Market and Education Policy,XXX,Postdoctoral Fellow,"November 9, 2025"
institute_policy_integrity,The Institute for Policy Integrity,XXX,Postdoctoral Fellow,"November 9, 2025"
center_for_monetary_financial_studies,Center for Monetary and Financial Studies,XXX,Assistant Professor,"November 9, 2025"
oecd,OECD,XXX,Junior Economist,"November 9, 2025"
rockwool_foundation,ROCKWOOL Foundation Berlin,XXX,Postdoctoral Fellow,"November 9, 2025"
tel_aviv_u,Tel Aviv University,Department of Economics,Lecturer,"November 9, 2025"
u_south_carolina,University of South Carolina,Department of Economics,Assistant Professor,"November 9, 2025"
u_warwick_ap,University of Warwick,Department of Economics,Assistant Professor,"November 9, 2025"
u_wisconsin_stevens_point,University of Wisconsin Stevens Point,Department of Economics,Assistant Professor,"November 9, 2025"
u_amsterdam_ap,University of Amsterdam,Department of Economics,Assistant Professor,"November 9, 2025"
hanken_school,Hanken School of Economics,Department of Finance and Economics,Assistant Professor,"November 9, 2025"
u_warwick_pd,University of Warwick,Department of Economics,Research Fellow,"November 9, 2025"
u_minnesota_morris,University of Minnesota Morris,Department of Economics,Assistant Professor,"November 9, 2025"
u_western_ontario,University of Western Ontario,Department of Economics,Assistant Professor,"November 9, 2025"
york_college_pa,York College of Pennsylvania,Department of Economics,Assistant Professor,"November 9, 2025"
