slug,institution_name,dept_name,job_title,letter_date
u_york,University of York,Department of Economics and Related Studies,Lecturer,"November 16, 2025"
ca_foscari_u,Ca' Foscari University Venice,Department of Economics,Postdoctoral Scholar,"November 16, 2025"
aix_marseille_school,Aix-Marseille School of Economics,XXX,Assistant Professor,"November 16, 2025"
aarhus_u_pd,Aarhus University,Department of Economics and Business Economics,Postdoctoral Fellow,"November 16, 2025"
u_stavanger,University of Stavanger,School of Business,Assistant Professor of Economics,"November 16, 2025"
lisbon_school,Lisbon School of Economics and Management,Department of Economics,Assistant Professor,"November 16, 2025"
u_libre_bruxelles,Université Libre de Bruxelles,Solvay Brussels School of Economics and Management,Assistant Professor in Microeconomics,"November 16, 2025"
u_de_barcelona,Universitat de Barcelona,School of Economics,Postdoctoral/Assistant Professor position,"November 16, 2025"
u_stavanger_pd,University of Stavanger,Department of Economics and Finance,Postdoctoral Researcher,"November 16, 2025"
hebrew_u,Hebrew University of Jerusalem,Bogen Family Department of Economics,Assistant Professor,"November 16, 2025"
u_sydney,University of Sydney,School of Economics,Postdoctoral Research Fellow,"November 16, 2025"
collegio_carlo_alberto,Collegio Carlo Alberto,"Department of Economics, Finance, and Statistics",Assistant Professor,"November 16, 2025"
eth_zurich,ETH Zurich,"Department of Humanities, Social and Political Sciences",Postdoc in Economics and Data Science,"November 16, 2025"
ias_vienna,Institute for Advanced Studies Vienna,XXX,Postdoctoral Research,"November 16, 2025"
u_illes_balears,Universitat de les Illes Balears,Department of Business Economics,Assistant Professor of Economics,"November 16, 2025"
